,id,original_title,poster_path,overview,budget,genres,release_date,popularity,revenue,director,top_cast,keywords
2370,10722,El día de la bestia,/jZLvcv73dNd4WjiY86hRo7p1wCW.jpg,"The story revolves around a Basque Roman Catholic priest dedicated to committing as many sins as possible (Angulo), a death metal salesman from Carabanchel (Segura), and the Italian host of a TV show on the occult (De Razza). These go on a literal ""trip"" through Christmas-time Madrid to hunt for and prevent the reincarnation of the Antichrist.",0, Action Comedy Horror Crime,1995-10-20,5.759423,4367497.0,Álex de la Iglesia, Alex Angulo Armando De Razza Santiago Segura, neo-nazi prophecy madrid telecaster virgin black magic heavy metal hallucinogen anti-christ murder surrealism inferno apocalypse devil crucifix catholic priest christmas black comedy
2372,10314,She's All That,/2kWpjQ3O6DZywdIoPlvXCk3T91P.jpg,"High school hotshot Zach Siler is the envy of his peers. But his popularity declines sharply when his cheerleader girlfriend, Taylor, leaves him for sleazy reality-television star Brock Hudson. Desperate to revive his fading reputation, Siler agrees to a seemingly impossible challenge. He has six weeks to gain the trust of nerdy outcast Laney Boggs -- and help her to become the school's next prom queen.",10000000, Comedy Romance,1999-01-29,7.064982,103166989.0,Robert Iscove, Freddie Prinze Jr. Rachael Leigh Cook Matthew Lillard, tv star jeep volleyball misfit teen angst house party teen movie teenager avant-garde popularity little people high school student young love prom queen pygmalion clown makeup performance art beatboxing self expression tripping pool cleaner
2374,47139,"Blood, Guts, Bullets and Octane",/gyIyZOKJ1y80p74GjZuqpfhFy93.jpg,"A Cherry Pontiac Lemans Convertible...Two Days...Two-Hundred &amp; Fifty Grand. When your lemon lot hits the skids you glom the gig no matter what the smell. For Bob and Sid, two slicked-back burnouts, bum luck runs in spades. With a goose-egg for cash flow and a fore-closure falling fast, they take the gig. The Upside: Fat Cash...The Flipside...Every Thug, Crook, Punk and Mercenary on the planet looking to get rich.",7300, Action Comedy Thriller,1998-10-16,0.137676,13674.0,Joe Carnahan, Mike Maas Nick Fenske Mark Priolo,
2375,11167,Peeping Tom,/tJyGgOLDLDhJkUEI4wSoD4eO7n4.jpg,"Loner Mark Lewis works at a film studio during the day and, at night, takes racy photographs of women. Also he's making a documentary on fear, which involves recording the reactions of victims as he murders them. He befriends Helen, the daughter of the family living in the apartment below his, and he tells her vaguely about the movie he is making. She sneaks into Mark's apartment to watch it and is horrified by what she sees -- especially when Mark catches her.",150000, Horror Thriller,1960-04-06,7.229587,83957.0,Michael Powell, Karlheinz Böhm Moira Shearer Anna Massey, cinematographer photography illegal prostitution proto-slasher
2377,2112,Payback,/6wvtqAKsMso4oKTCmAlKtV2W0Zy.jpg,"With friends like these, who needs enemies? That's the question bad guy Porter is left asking after his wife and partner steal his heist money and leave him for dead -- or so they think. Five months and an endless reservoir of bitterness later, Porter's partners and the crooked cops on his tail learn how bad payback can be.",90000000, Drama Action Thriller Crime,1999-02-05,9.112008,161626121.0,Brian Helgeland, Mel Gibson Kris Kristofferson Gregg Henry, new york heroin money criminal
2378,16172,Simply Irresistible,/mBPCJOotTzUBVdQzC4yFpchCzwS.jpg,"After her mother's death, mediocre chef Amanda Shelton is having trouble attracting customers to her family's restaurant. While shopping for ingredients, she is given a magical crab by mysterious Gene O'Reilly. Afterward, Amanda's dishes suddenly become excellent, inducing strong emotional reactions in everyone who eats them. Tom Bartlett, who is preparing to open his own eatery, tries her cooking and falls in love.",6000000, Comedy,1999-02-05,6.053045,4398989.0,Mark Tarlov, Sarah Michelle Gellar Sean Patrick Flanery Dylan Baker, restaurant department store kitchen love crab chef irresistible
2383,11622,Blast from the Past,/chljpiLSV7XAuKjYTQl3a7w39p8.jpg,"Following a bomb scare in the 1960s that locked the Webers into their bomb shelter for 35 years, Adam now ventures forth into Los Angeles to obtain food and supplies for his family, and a non-mutant wife for himself.",35000000, Comedy Romance,1999-02-12,8.355977,40263020.0,Hugh Wilson, Brendan Fraser Alicia Silverstone Christopher Walken, isolation atomic bomb bunker shelter
2384,10207,Message in a Bottle,/majQar87QNbrC47qYMcmK1oCohZ.jpg,"A woman finds a romantic letter in a bottle washed ashore and tracks down the author, a widowed shipbuilder whose wife died tragically early. As a deep and mutual attraction blossoms, the man struggles to make peace with his past so that he can move on and find happiness.",80000000, Romance Drama,1999-02-22,5.101392,118880016.0,Luis Mandoki, Kevin Costner Robin Wright Paul Newman, sailboat anonymous letter sailing love letter bottle
2385,9849,My Favorite Martian,/k1wWEHxXLTHXjiBghhPqDYRBuDn.jpg,"News producer, Tim O'Hara gets himself fired for unwillingly compromising his bosses' daughter during a live transmission. A little later, he witnesses the crashing of a small Martian spacecraft, realizing his one-time chance of delivering a story that will rock the earth. Since Tim took the original but scaled-down spaceship with him, the Martian follows him to retrieve it.",65000000, Comedy Drama Family Science Fiction,1999-02-11,12.65102,36850101.0,Donald Petrie, Jeff Daniels Elizabeth Hurley Daryl Hannah, alien martian based on tv series fish out of water
2387,18892,Jawbreaker,/pjgsvVxxMR2DjjCyeHMoMJLzXds.jpg,"3 of Reagan High School's most popular girls pretend to kidnap their friend by shoving a jawbreaker into the victim's mouth to keep her from screaming. Their plan goes awry when the girl swallows the jawbreaker, choking to death. Now the leader of the pack will do anything to keep the accident a secret.",3000000, Comedy,1999-01-30,7.434797,3076820.0,Darren Stein, Rose McGowan Julie Benz Rebecca Gayheart, confession jealousy nightmare ambition groupie high school cafeteria revenge prom dead body dating fashion rock band fantasy sequence slow motion multiple identities pop music makeover polaroid camera public humiliation social outcast sidekick prank gone wrong cliques social climbing back stabbing dead teenager goth girls
2389,1542,Office Space,/iO9aZzrfmMvm3IqkFiQyuuUMLh2.jpg,Three office workers strike back at their evil employers by hatching a hapless attempt to embezzle money.,10000000, Comedy Crime,1999-02-19,12.329066,12827813.0,Mike Judge, Ron Livingston Jennifer Aniston David Herman, suburbia downsizing software engineer burnout dallas texas beach resort coworker relationship laziness duringcreditsstinger business rivalry
2391,15256,200 Cigarettes,/dQoRvGDAFYrmzc9gwNJ7gXlL5Xw.jpg,"A collection of twentysomethings try to cope with relationships, loneliness, desire and their individual neuroses.",6000000, Comedy Drama Romance,1999-02-26,3.227046,6852450.0,Risa Bramon Garcia, Ben Affleck Casey Affleck Dave Chappelle, new year's eve independent film relationship woman director lower east side
2392,8224,8MM,/oEgBIcIJb1Z5sperKxE8Pb4tTr0.jpg,"A small, seemingly innocuous plastic reel of film leads surveillance specialist Tom Welles down an increasingly dark and frightening path. With the help of the streetwise Max, he relentlessly follows a bizarre trail of evidence to determine the fate of a complete stranger. As his work turns into obsession, he drifts farther and farther away from his wife, family and simple life as a small-town PI.",40000000, Thriller Crime Mystery,1999-02-26,7.473718,96618699.0,Joel Schumacher, Nicolas Cage Joaquin Phoenix James Gandolfini, pornography porn actor loss of daughter child pornography private investigator subculture private detective
2396,15209,Eight Days a Week,/jMK6jJB8eoY0OsH2M75X32ZlxRi.jpg,"Peter loves his next door neighbour Erica and, on the advice of his grandfather, decides to camp out on her front lawn for the entire summer, or until she agrees to go out with him. His father is none too happy about the idea and refuses to let his son back in the house, even to get a change of clothes.",0, Comedy Drama Romance,1997-01-17,4.515523,9090.0,Michael Davis, Joshua Schaefer Keri Russell R.D. Robb, female nudity sex obsession narration romantic rivalry unrequited love independent film neighbor teenage crush religion summer teenager masturbation teen comedy first love william tell overture girl next door
2400,8913,Pet Sematary,/9zUax4pjRgoPIJla9CQejqNJofB.jpg,"Dr. Louis Creed's family moves into the country house of their dreams and discover a pet cemetery at the back of their property. The cursed burial ground deep in the woods brings the dead back to life -- with ""minor"" problems. At first, only the family's cat makes the return trip, but an accident forces a heartbroken father to contemplate the unthinkable.",11500000, Drama Horror,1989-04-21,8.365761,57469467.0,Mary Lambert, Dale Midkiff Fred Gwynne Denise Crosby, coffin pet funeral head injury grief violence new neighbor pet cemetery dead cat death of patient loss of pet dead lover mother son relationship ghost grave robbing indian burial ground woman director flashback burial ground
2401,10906,Pet Sematary II,/iaWnUo0RNDMg3uGSVrFtvlxH7EB.jpg,"The ""sematary"" is up to its old zombie-raising tricks again. This time, the protagonists are Jeff Matthews, whose mother died in a Hollywood stage accident, and Drew Gilbert, a boy coping with an abusive stepfather.",8000000, Horror,1992-08-28,6.823445,17092453.0,Mary Lambert, Edward Furlong Anthony Edwards Clancy Brown, underdog father son relationship veterinarian step father dog woman director
2402,25748,Children of the Corn II: The Final Sacrifice,/lqFb8Mnx9tFPUevnfbz9o2adLFw.jpg,"Arriving in Gatlin, Nebraska, a news-reporter and his son get wind of a story about the youth in the town murdering their parents finds that a series of brutal murders are revealed to be worshipers of the corn-stalks and try to stop them before they carry out their plans.",900000, Horror,1993-01-29,8.357875,6980986.0,David Price, Terence Knox Paul Scherrer Ryan Bollman, sequel possession priest corn harvest
2404,8769,Christine,/eIFakrk7xLwiNNoiottTBN5EIwy.jpg,"Geeky student Arnie Cunningham falls for Christine, a rusty 1958 Plymouth Fury, and becomes obsessed with restoring the classic automobile to her former glory. As the car changes, so does Arnie, whose newfound confidence turns to arrogance behind the wheel of his exotic beauty. Arnie's girlfriend Leigh and best friend Dennis reach out to him, only to be met by a Fury like no other.",0, Horror,1983-12-08,7.106757,21200000.0,John Carpenter, Keith Gordon John Stockwell Alexandra Paul, anthropomorphism teenager psychological drama animate car smart car overprotective parent heimlich maneuver
2405,14742,Night Shift,/qLijlmE6AJjpCU8f2L7wshoR8HE.jpg,"A nebbish of a morgue attendant gets shunted back to the night shift where he is shackled with an obnoxious neophyte partner who dreams of the ""one great idea"" for success. His life takes a bizarre turn when a prostitute neighbour complains about the loss of her pimp. His partner, upon hearing the situation, suggests that they fill that opening themselves using the morgue at night .",0, Comedy,1982-07-30,4.535207,21095683.0,Ron Howard, Henry Winkler Michael Keaton Shelley Long, pimp morgue prostitution morgue attendant
2407,10671,Airport,/lKRsOCB1FlZYD7tYPHValBAqmwm.jpg,"Melodrama about a bomber on board an airplane, an airport almost closed by snow, and various personal problems of the people involved.",10000000, Action Drama Thriller,1970-03-05,7.873018,100489151.0,George Seaton, Burt Lancaster Dean Martin Jean Seberg, bomb based on novel airport desperation snow storm stowaway airplane panic landing psychopath deception split screen blizzard disaster film suicide bomber snowplow
2408,27932,Airport 1975,/53M89n1LDl20ZCAhqEadjTVc0Ml.jpg,"""Something hit us...the crew is dead...help us, please, please help us!"" With these terrifying words, 22 of Hollywood's greatest stars find themselves aboard a pilotless jumbo jet headed on a collision course with destruction in the nerve chilling sequel to the greatest disaster movie ever made.",3000000, Action Adventure Drama Thriller,1974-10-18,8.480501,47000000.0,Jack Smight, Charlton Heston Karen Black Gloria Swanson, helicopter based on novel airport cataclysm guitar wife husband relationship stewardess pilot airplane music alcoholism sequel number in title aviation salt lake city dulles international airport teenage girl singing nun mid air collision airplane accident los angeles ensemble cast disaster film
